Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
England,Premier League,(LEI),Jamie Vardy,3271,23,19.28,1.22,2019
England,Premier League,(MNC),Raheem Sterling,2836,20,20.3,1.27,2019
England,Premier League,(LIV),Sadio Mane,2933,18,14.51,1.17,2019
England,Premier League,(BUR),Chris Wood,2616,14,17.07,1.05,2019
England,Premier League,(MNU),Anthony Martial,2788,17,11.74,1.33,2019
England,Premier League,(MNC),Riyad Mahrez,2130,11,7.62,1.38,2019
England,Premier League,(TOT),Son Heung-Min,2663,11,9.25,1.36,2019
England,Premier League,(MNU),Marcus Rashford,2826,17,19.93,1.48,2019
England,Premier League,(LIV),Mohamed Salah,3045,19,20.51,1.84,2019
England,Premier League,(MNC),Gabriel Jesus,2209,14,20.69,1.98,2019
England,Premier League,(SOU),Danny Ings,3009,22,16.79,1.17,2019
England,Premier League,(ARS),Pierre-Emerick Aubameyang,3392,22,16.07,1.18,2019
England,Premier League,(TOT),Harry Kane,2801,18,12.97,1.25,2019
England,Premier League,(EVE),Richarlison  ,3289,13,10.73,0.92,2019
England,Premier League,(NOR),Teemu Pukki,3087,11,11.37,1.08,2019
England,Premier League,(CHE),Tammy Abraham,2380,15,19.29,1.4,2019
England,Premier League,(MNC),Sergio Aguero,1566,16,15.5,1.64,2019
Brazil,Campeonato Brasileiro S̩rie A,,Dudu ,3313,9,9.42,1.09,2019
Brazil,Campeonato Brasileiro S̩rie A,(INT),Thiago Galhardo,2901,12,14.35,1.05,2019
Brazil,Campeonato Brasileiro S̩rie A,(INT),Paolo Guerrero,2193,10,10.85,1.43,2019
Brazil,Campeonato Brasileiro S̩rie A,(GRE),Pepe,1836,8,8.7,0.83,2019
Brazil,Campeonato Brasileiro S̩rie A,Bruno,Henrique ,3149,10,4.97,0.66,2019
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Giorgian de Arrascaeta,1929,12,9.34,0.94,2019
Brazil,Campeonato Brasileiro S̩rie A,(SAN),Marinho ,1917,8,6.66,1.29,2019
Brazil,Campeonato Brasileiro S̩rie A,(BEN),Everton ,2498,11,9.2,1.22,2019
Brazil,Campeonato Brasileiro S̩rie A,(BAH),Gilberto ,2524,14,15.94,1.17,2019
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Michael ,3180,10,9.37,0.96,2019
Brazil,Campeonato Brasileiro S̩rie A,(SAN),Carlos Sanchez,2648,12,11.99,1.04,2019
Brazil,Campeonato Brasileiro S̩rie A,,Everaldo ,3233,14,13.27,1.15,2019
